customer_id,segment,tenure_months,monthly_spend,tickets_last90d,late_invoices_12m,usage_hours_30d,nps,churn
C101691,MidMarket,26,350.18,0,1,35.9,41,0
C101474,Enterprise,14,3401.7,1,0,41.1,18,0
C101798,Enterprise,23,2664.6,1,1,61.4,20,0
C100478,SMB,22,159.87,1,2,41.7,45,0
C100281,SMB,17,80.36,3,3,27.2,30,0
C101647,MidMarket,14,754.01,1,0,24.9,6,0
C101556,MidMarket,23,572.56,1,0,27.6,43,0
C101729,MidMarket,34,460.49,0,1,52.7,32,0
C100210,SMB,18,229.35,4,0,38.1,-28,0
C100297,MidMarket,28,625.51,2,1,16.5,8,0
C101884,SMB,16,191.21,3,6,16.7,10,0
C101833,MidMarket,31,480.53,2,0,42.0,50,0
C100651,MidMarket,34,486.89,0,0,35.4,38,0
C101233,SMB,16,142.78,3,0,41.5,6,0
C101502,SMB,23,114.68,1,1,28.3,45,0
C101931,SMB,24,168.21,2,0,20.3,-11,0
C100916,SMB,18,135.2,1,1,20.7,46,0
C100993,Enterprise,27,2513.27,2,0,38.0,3,0
C100429,SMB,12,108.55,1,3,32.9,11,0
C101370,MidMarket,14,630.88,1,0,25.0,9,0
C100239,MidMarket,22,729.31,0,0,36.4,24,0
C100879,SMB,15,96.58,1,0,24.9,23,0
C100620,MidMarket,27,523.7,2,1,49.4,25,0
C100256,MidMarket,19,571.0,0,0,15.9,12,0
C100611,SMB,21,217.31,3,1,22.7,0,0
C100544,MidMarket,32,408.64,2,1,26.6,32,0
C100771,MidMarket,31,472.44,1,1,25.8,38,0
C101419,SMB,8,130.5,3,1,33.8,42,0
C101041,MidMarket,25,488.62,1,2,23.7,-3,0
C101789,SMB,22,108.16,1,3,19.6,16,0
C100759,MidMarket,22,656.25,1,1,39.3,22,0
C100382,MidMarket,24,618.52,1,2,24.9,85,0
C101103,Enterprise,35,2985.37,1,0,22.9,25,0
C100973,SMB,19,172.3,2,1,23.9,5,0
C100352,MidMarket,32,617.35,2,2,41.8,19,0
C101605,Enterprise,41,3421.62,0,0,26.8,36,0
C101825,Enterprise,28,2895.14,1,1,77.5,40,0
C101036,MidMarket,24,761.13,1,1,65.5,41,0
C101107,SMB,20,157.91,1,2,17.5,9,0
C100494,MidMarket,28,732.5,0,2,43.1,48,0
C100393,Enterprise,36,2729.09,1,1,39.8,1,0
C101546,MidMarket,31,416.28,0,1,26.7,19,1
C100464,SMB,18,133.47,4,3,14.9,20,0
C100886,MidMarket,12,542.86,0,1,26.5,32,0
C101193,SMB,22,120.44,2,1,8.0,6,1
C100366,SMB,23,163.76,6,1,32.7,8,0
C101893,Enterprise,39,3839.54,4,0,58.0,38,0
C101873,Enterprise,42,2510.51,2,1,39.7,2,0
C100744,MidMarket,11,810.71,0,2,39.0,31,0
C100529,SMB,19,125.77,2,2,25.3,12,0
C100802,MidMarket,31,620.62,0,0,10.1,38,0
C101223,SMB,21,134.62,2,1,18.0,34,0
C101978,SMB,8,146.93,1,3,22.1,3,1
C101905,SMB,17,72.85,4,1,19.6,-5,1
C101699,MidMarket,27,780.92,0,2,21.7,35,0
C101544,SMB,24,163.92,1,0,34.1,-21,0
C101313,SMB,11,193.13,0,0,22.8,59,0
C100306,SMB,22,126.8,2,2,25.5,5,0
C101666,SMB,12,186.74,1,1,23.1,-4,0
C100862,MidMarket,18,338.39,0,0,26.0,17,0
C101566,SMB,28,59.42,1,0,25.6,37,0
C100530,MidMarket,21,625.27,2,0,17.1,17,0
C100654,SMB,16,140.95,1,2,27.4,30,0
C101259,SMB,9,194.73,1,0,26.6,70,0
C100233,MidMarket,29,557.23,4,0,35.0,-9,0
C100120,Enterprise,41,2608.23,0,0,35.0,31,0
C101697,SMB,10,81.12,3,0,11.4,-8,0
C100949,SMB,18,127.13,1,0,11.0,36,0
C100617,SMB,26,133.83,3,3,33.7,42,0
C101178,SMB,20,82.97,1,2,34.7,14,0
C100307,MidMarket,15,691.97,2,1,16.1,14,0
C100135,MidMarket,27,567.64,3,0,21.9,41,0
C100554,MidMarket,10,442.23,2,1,28.8,10,0
C101673,MidMarket,9,657.32,2,3,44.5,-3,0
C100583,MidMarket,35,676.7,0,0,31.5,13,0
C101640,MidMarket,29,794.09,1,0,23.8,22,0
C100670,MidMarket,23,680.2,0,2,44.9,13,0
C100834,MidMarket,22,325.5,2,1,37.5,23,0
C100109,SMB,11,139.54,1,0,27.4,29,0
C101164,SMB,13,140.96,0,2,43.2,31,0
C101959,Enterprise,30,3705.1,0,0,33.4,45,0
C101464,MidMarket,23,635.09,1,1,24.4,4,0
C101728,MidMarket,24,598.52,2,1,49.3,51,0
C101242,MidMarket,28,716.1,0,1,50.4,29,0
C100211,SMB,21,151.19,1,2,33.2,6,0
C101767,SMB,16,174.47,1,2,22.1,8,0
C101120,MidMarket,29,563.62,0,1,40.1,67,0
C100679,MidMarket,17,673.3,1,1,41.8,42,0
C101950,MidMarket,26,747.56,1,1,49.4,16,0
C101838,SMB,21,187.48,1,1,42.4,19,0
C100411,SMB,14,40.0,3,2,26.8,-4,0
C101324,MidMarket,22,800.45,4,1,51.8,31,0
C100782,SMB,16,173.2,0,0,32.3,24,0
C101345,MidMarket,26,587.2,3,1,21.0,27,0
C100874,SMB,20,107.89,1,2,22.6,36,0
C101652,SMB,2,154.81,1,1,17.5,29,0
C101278,MidMarket,33,537.38,1,1,36.1,23,1
C100785,SMB,12,218.65,4,2,44.5,19,0
C101818,SMB,16,150.98,5,0,19.1,-5,0
C101198,SMB,17,155.57,2,0,32.1,30,0
C100807,SMB,18,74.92,2,0,18.4,7,0
C100712,SMB,27,197.59,1,3,18.1,23,1
C101990,MidMarket,18,731.57,0,3,18.2,23,0
C101659,MidMarket,19,826.28,1,3,15.2,5,0
C101190,SMB,14,132.62,0,0,35.9,26,0
C101225,SMB,25,160.44,1,1,17.8,30,0
C100602,Enterprise,35,3064.18,0,0,59.1,54,0
C100270,Enterprise,48,1729.22,1,1,43.0,32,0
C101384,SMB,10,115.36,1,5,20.8,9,0
C100231,Enterprise,29,3620.92,0,0,58.2,-13,0
C100049,SMB,22,118.1,4,1,10.8,2,0
C100462,SMB,14,124.25,2,1,35.1,10,1
C101105,MidMarket,23,363.46,0,0,14.8,3,0
C100855,SMB,11,152.56,2,2,14.8,-17,0
C100693,SMB,13,131.61,1,0,15.0,21,1
C101551,SMB,34,171.48,0,1,4.6,34,0
C101872,MidMarket,16,576.59,1,0,30.6,36,0
C100526,SMB,10,158.49,6,1,34.3,3,1
C100173,SMB,20,159.86,3,3,24.7,16,0
C100720,MidMarket,22,537.09,0,1,39.3,10,0
C100414,Enterprise,28,3150.83,2,0,43.0,15,0
C100237,MidMarket,13,592.15,1,0,41.0,33,0
C101472,SMB,18,210.39,4,1,8.3,-11,0
C101335,MidMarket,20,673.35,1,1,44.7,16,0
C101063,Enterprise,30,3026.14,0,0,79.9,-7,0
C100023,MidMarket,34,551.12,0,1,52.2,33,0
C101766,SMB,17,172.34,3,2,14.4,27,0
C100063,SMB,17,130.72,3,1,14.0,39,0
C100289,MidMarket,30,515.62,0,0,44.6,7,0
C100188,Enterprise,23,3359.66,0,0,55.6,25,0
C100701,SMB,11,164.04,1,6,21.8,22,0
C101814,SMB,12,157.68,3,0,23.0,38,1
C101137,MidMarket,33,527.08,2,0,30.5,4,0
C100354,SMB,11,137.65,2,1,19.7,4,0
C100416,MidMarket,18,753.06,2,0,31.0,36,0
C101245,SMB,7,143.08,2,4,25.4,22,1
C100930,SMB,12,106.33,3,3,22.3,6,0
C100196,SMB,28,201.33,2,3,19.2,-1,1
C100579,MidMarket,39,575.78,0,0,40.2,57,0
C101134,SMB,14,168.96,2,0,10.8,41,0
C101813,MidMarket,26,687.39,1,2,60.2,40,0
C101934,MidMarket,27,642.81,0,1,53.8,36,0
C100433,SMB,17,170.89,3,3,9.5,1,1
C100100,MidMarket,15,523.19,0,1,41.9,17,0
C101654,SMB,22,193.49,1,1,19.1,31,0
C100394,SMB,30,138.19,1,0,18.4,15,0
C101938,Enterprise,49,2813.72,1,1,65.5,18,0
C100220,SMB,10,170.94,3,1,20.0,33,0
C101675,Enterprise,13,2990.27,0,1,43.3,35,0
C101497,MidMarket,33,745.77,1,0,16.7,13,0
C101784,MidMarket,13,829.83,2,3,34.5,30,0
C100344,SMB,6,165.75,1,0,31.1,35,0
C101027,SMB,19,167.84,2,2,18.5,2,0
C100888,SMB,22,158.51,1,1,27.4,40,0
C101350,SMB,18,224.7,1,0,34.5,24,0
C100552,SMB,13,135.18,1,3,13.2,48,0
C100743,SMB,18,143.27,1,2,26.0,15,0
C101541,SMB,24,187.17,1,3,16.3,15,0
C100538,MidMarket,20,736.83,3,0,13.4,19,0
C100906,SMB,14,172.71,3,1,14.9,34,0
C101394,SMB,23,158.52,5,1,16.5,9,0
C100115,SMB,17,145.47,0,1,22.4,51,0
C100829,MidMarket,33,617.26,0,1,37.1,6,0
C101937,SMB,23,221.33,2,0,20.7,36,1
C100808,MidMarket,33,518.83,2,3,17.0,33,0
C101310,SMB,22,238.32,1,0,31.2,43,0
C101004,SMB,25,217.75,2,1,29.5,10,0
C100305,SMB,13,186.87,2,3,42.2,39,0
C101100,SMB,31,158.22,6,3,12.1,-4,1
C100479,MidMarket,22,509.67,1,1,46.4,25,0
C101423,SMB,20,136.05,1,1,27.0,22,0
C101075,SMB,16,89.46,1,1,31.6,7,0
C100570,MidMarket,9,550.43,1,0,42.0,24,1
C100618,SMB,18,147.44,4,5,9.4,-4,1
C101897,SMB,18,138.49,1,3,20.1,47,0
C101265,MidMarket,14,577.39,2,1,43.0,3,0
C100078,SMB,26,167.23,1,3,19.5,37,0
C101911,MidMarket,15,615.94,1,0,41.6,20,0
C100032,SMB,17,156.71,4,0,38.1,33,0
C101537,SMB,19,150.71,2,2,23.6,35,1
C101033,Enterprise,66,1992.26,1,0,37.1,0,0
C101562,MidMarket,40,506.69,0,1,45.5,10,0
C100351,SMB,19,130.92,2,0,16.6,37,0
C100163,SMB,10,117.97,1,1,35.9,-1,0
C100203,SMB,21,117.42,2,2,28.4,35,0
C101053,MidMarket,34,484.8,2,1,27.1,29,0
C101364,MidMarket,37,814.37,0,3,46.0,-1,0
C101966,Enterprise,35,3152.67,0,1,35.2,34,0
C100495,MidMarket,31,672.18,1,1,29.3,29,1
C101624,MidMarket,21,397.02,2,1,43.8,14,0
C101965,SMB,13,209.8,1,3,11.1,10,0
C101962,MidMarket,25,464.22,1,0,40.6,17,0
C100610,SMB,17,141.84,0,1,18.6,18,0
C100432,MidMarket,22,469.16,0,1,44.6,19,0
C101491,SMB,23,191.85,0,1,5.8,16,0
C100218,SMB,20,151.0,2,2,2.5,17,0
C101930,SMB,19,118.66,2,1,37.7,6,0
C101465,SMB,19,160.51,2,2,23.3,38,1
C100630,MidMarket,17,633.33,1,0,34.9,48,0
C101381,SMB,21,207.23,1,3,27.5,19,1
C101301,SMB,11,196.92,1,2,24.0,8,0
C100059,MidMarket,26,581.07,2,0,31.7,8,0
C100298,SMB,24,154.62,1,0,14.5,42,0
C101710,MidMarket,30,838.54,2,1,44.9,4,0
C100073,MidMarket,17,771.09,2,2,24.2,-28,0
C100162,SMB,19,171.22,3,3,22.5,-1,0
C101274,MidMarket,38,582.13,2,0,9.3,36,0
C101593,MidMarket,14,648.48,1,0,25.3,13,0
C101433,SMB,12,143.06,3,2,25.6,-5,1
C101612,MidMarket,32,534.59,1,2,51.6,15,0
C100591,MidMarket,28,513.29,0,2,40.7,46,0
C100316,Enterprise,57,3103.13,1,1,23.1,16,0
C100045,SMB,10,180.58,2,0,28.1,18,0
C101719,MidMarket,25,573.78,0,0,32.4,37,0
C101831,MidMarket,17,437.83,0,0,51.1,6,0
C100427,SMB,17,119.74,3,1,21.3,8,0
C100581,SMB,15,200.25,0,0,20.7,52,0
C100076,MidMarket,16,576.22,0,0,21.8,23,0
C101916,SMB,22,120.25,1,0,33.8,24,0
C101414,SMB,15,155.35,3,3,18.1,51,0
C100780,SMB,18,151.74,2,2,22.5,22,0
C101919,SMB,16,192.15,2,1,6.0,35,0
C101173,SMB,28,206.97,2,1,36.6,36,0
C101319,MidMarket,32,400.75,0,1,27.7,38,0
C100937,Enterprise,15,3938.8,1,0,53.1,14,0
C100030,Enterprise,25,2690.78,0,0,51.3,12,0
C101091,MidMarket,37,637.76,0,1,32.9,5,0
C101615,SMB,8,211.63,0,1,13.9,29,0
C101229,SMB,14,147.08,1,1,43.5,-9,0
C100974,SMB,25,125.35,0,0,34.7,28,0
C101084,SMB,17,156.41,2,2,16.6,16,0
C100514,SMB,17,89.45,0,2,25.3,14,0
C101550,SMB,17,178.83,2,2,42.9,35,0
C101567,Enterprise,21,2336.2,1,1,48.3,42,0
C101810,MidMarket,35,521.65,1,1,32.9,24,0
C101573,SMB,11,79.37,2,2,25.3,44,0
C100044,SMB,20,209.47,5,0,18.3,30,0
C101686,MidMarket,24,493.48,1,1,39.9,18,0
C100168,SMB,17,207.31,3,1,16.6,-28,0
C100303,SMB,18,94.28,2,1,17.9,23,0
C100990,SMB,23,216.71,2,1,20.4,1,1
C100555,MidMarket,22,783.29,5,0,32.4,24,1
C101924,SMB,17,145.14,3,3,17.5,9,0
C100607,MidMarket,27,560.75,0,0,56.9,8,0
C101618,MidMarket,31,506.73,0,1,42.6,36,0
C100757,SMB,15,148.67,2,0,20.6,15,1
C100438,MidMarket,9,573.12,1,2,30.7,6,0
C100582,SMB,15,132.47,0,0,20.9,52,0
C101518,SMB,18,133.37,3,1,16.8,-15,0
C100527,Enterprise,26,2995.09,1,1,37.3,55,0
C100342,MidMarket,26,668.03,0,1,18.2,39,0
C101736,MidMarket,31,362.5,0,1,42.7,26,1
C100367,MidMarket,41,609.49,1,0,57.4,24,0
C100185,MidMarket,15,501.02,1,1,28.8,-2,0
C101116,MidMarket,16,625.63,0,0,25.7,22,0
C101754,MidMarket,15,734.32,2,1,35.9,26,0
C101425,SMB,7,210.3,3,0,8.9,-10,0
C100300,SMB,21,158.15,2,1,35.5,-19,0
C101903,SMB,10,127.57,1,2,17.0,44,0
C100832,MidMarket,13,727.28,0,1,28.7,31,0
C100543,MidMarket,14,554.49,1,0,30.6,39,0
C101600,SMB,11,164.5,6,0,42.7,-5,0
C100350,SMB,28,179.73,2,1,6.0,5,0
C101932,SMB,3,87.35,4,1,35.0,15,1
C101510,SMB,15,159.87,5,0,19.0,-4,0
C100978,MidMarket,26,658.6,1,1,44.0,45,0
C100175,SMB,22,128.3,1,2,22.1,25,0
C100482,MidMarket,12,417.64,0,0,30.9,29,0
C101412,SMB,13,175.44,2,0,31.2,30,0
C101610,MidMarket,13,690.88,0,0,24.9,45,0
C100123,MidMarket,25,509.25,2,0,9.7,28,0
C100599,SMB,12,128.27,3,0,10.7,22,0
C101794,SMB,14,151.85,5,1,35.8,-10,1
C101745,SMB,21,133.84,2,1,12.9,67,0
C101378,SMB,11,160.28,2,1,32.8,22,0
C101185,SMB,16,116.26,3,3,17.9,-35,1
C100485,SMB,18,96.66,5,1,31.0,19,0
C100331,SMB,14,107.57,1,1,39.1,26,0
C100788,SMB,11,211.44,4,0,30.1,-4,0
C100194,SMB,17,162.11,3,1,33.2,20,0
C100637,MidMarket,42,529.66,0,0,38.3,42,0
C100471,SMB,22,185.89,3,3,18.8,-17,0
C101713,MidMarket,22,640.52,0,0,16.4,4,1
C100322,SMB,13,198.97,4,0,14.9,39,0
C101196,SMB,16,238.74,5,0,19.2,-10,1
C100266,SMB,24,209.12,2,0,6.1,39,0
C101543,SMB,19,164.32,1,0,25.6,51,0
C101803,MidMarket,33,690.76,0,0,44.7,26,0
C100067,MidMarket,31,381.78,3,0,43.9,44,0
C101737,SMB,23,146.73,3,1,14.9,56,0
C101592,SMB,9,200.48,3,2,11.7,-18,0
C101563,SMB,18,100.27,4,1,29.0,-6,0
C100480,SMB,16,117.04,3,3,28.6,-2,0
C101756,MidMarket,20,390.77,1,1,16.8,27,0
C101912,Enterprise,29,2522.03,2,1,17.0,27,0
C101440,Enterprise,30,3086.92,0,0,51.5,40,0
C101460,SMB,15,169.65,2,2,24.9,46,0
C100887,Enterprise,38,3261.14,0,0,60.4,25,0
C100422,SMB,16,167.82,3,2,19.4,-6,1
C101674,Enterprise,36,3479.26,3,0,47.3,36,0
C101449,SMB,19,148.21,4,1,19.3,51,1
C100764,MidMarket,25,661.35,1,0,12.6,23,0
C100519,SMB,14,157.56,2,2,32.7,-21,0
C101431,SMB,23,158.19,1,1,0.0,-6,1
C100613,SMB,17,121.03,3,3,7.7,-14,0
C101530,SMB,13,144.81,2,1,37.7,40,0
C101782,SMB,23,170.91,1,1,18.8,22,0
C101658,Enterprise,38,3219.65,0,0,67.7,34,0
C100453,MidMarket,17,738.98,1,2,29.4,29,0
C100730,MidMarket,26,663.75,2,0,29.6,-5,0
C100534,MidMarket,14,703.3,0,1,50.9,57,0
C100965,SMB,11,149.78,2,0,24.0,22,0
C101284,MidMarket,23,792.53,0,2,25.7,26,0
C101739,SMB,21,186.28,2,3,37.7,22,0
C100261,SMB,22,143.16,2,3,34.1,34,1
C100535,SMB,12,193.37,1,1,16.3,25,1
C100968,MidMarket,7,713.4,2,0,43.9,5,0
C100240,MidMarket,20,618.73,1,0,13.8,18,0
C100819,SMB,11,140.88,5,3,19.8,15,0
C100692,SMB,24,238.67,1,2,17.5,9,0
C100420,SMB,12,219.93,1,1,15.2,61,0
C101085,Enterprise,36,2032.03,0,0,30.7,6,0
C101998,SMB,20,97.93,2,0,11.3,15,0
C100365,SMB,16,142.28,2,0,29.0,7,0
C101022,MidMarket,26,506.49,1,3,43.8,2,0
C101240,Enterprise,54,3593.94,1,1,60.3,31,0
C100588,MidMarket,39,542.1,1,0,58.3,33,0
C100736,SMB,15,104.17,1,0,12.2,43,1
C101761,MidMarket,28,558.82,0,1,47.0,28,0
C100941,SMB,27,265.73,2,2,23.7,32,0
C100071,SMB,10,144.83,1,0,23.3,34,0
C101407,SMB,12,131.28,2,0,21.0,24,0
C100259,MidMarket,33,643.87,2,2,40.8,24,0
C100051,SMB,25,98.81,1,1,20.1,-7,0
C100198,SMB,14,123.08,2,1,16.5,-1,0
C101788,SMB,24,138.69,2,1,28.4,14,0
C100650,MidMarket,31,574.9,0,0,35.9,43,0
C100332,SMB,13,165.75,2,1,29.2,41,0
C101359,SMB,16,182.0,0,0,13.2,28,0
C100593,SMB,9,134.14,3,0,8.6,49,0
C101391,SMB,23,138.86,1,1,16.4,29,0
C101800,SMB,16,133.72,1,1,16.4,5,1
C101314,MidMarket,23,540.18,0,0,21.7,21,0
C101111,SMB,21,136.91,2,2,14.4,20,0
C101006,SMB,15,103.52,2,1,27.3,36,0
C101326,SMB,18,160.21,3,1,4.9,12,0
C100426,SMB,17,158.76,2,2,31.2,19,0
C101558,SMB,28,150.39,3,1,29.6,23,0
C101293,SMB,8,215.54,1,1,24.9,26,0
C100590,SMB,12,106.44,5,3,3.5,-4,0
C101957,Enterprise,41,3114.2,0,0,50.7,-6,0
C101976,MidMarket,42,500.67,0,0,14.2,23,0
C101132,SMB,22,120.43,0,1,24.7,14,0
C100985,SMB,17,131.04,3,4,24.9,13,0
C100398,MidMarket,20,577.66,3,2,36.9,33,0
C101511,SMB,27,190.14,2,3,11.5,10,0
C100436,SMB,11,132.95,4,0,3.6,6,0
C100192,MidMarket,34,565.96,0,0,58.2,63,0
C101435,Enterprise,37,3001.39,1,0,64.0,43,0
C100614,SMB,31,142.74,4,1,22.4,25,1
C101493,SMB,8,179.96,1,2,27.0,27,0
C100576,SMB,15,103.95,4,3,26.4,5,1
C100986,SMB,20,140.27,1,2,26.4,32,0
C101432,MidMarket,21,600.33,2,0,38.0,36,0
C100706,Enterprise,52,3084.84,0,1,34.8,28,0
C101258,SMB,22,89.56,2,1,3.6,-8,0
C100141,SMB,15,162.2,1,0,30.7,34,0
C101357,SMB,26,251.22,0,1,0.0,29,1
C100002,SMB,19,141.29,0,2,15.9,25,0
C101221,SMB,27,189.86,3,0,36.9,14,0
C101869,SMB,22,179.22,1,2,24.1,36,0
C101622,SMB,33,109.11,2,1,31.6,26,0
C100339,MidMarket,21,497.05,1,0,20.0,4,0
C101769,MidMarket,32,593.97,1,2,35.6,39,0
C101536,MidMarket,24,563.44,2,0,29.6,33,0
C100483,SMB,14,145.46,1,2,10.3,39,0
C100265,SMB,18,152.07,1,0,17.5,27,0
C100376,MidMarket,16,457.69,1,2,48.3,17,0
C100741,SMB,14,189.51,1,0,25.3,54,0
C101013,MidMarket,24,582.43,2,0,26.4,28,0
C100439,Enterprise,8,2885.82,4,0,44.1,3,0
C100271,SMB,11,111.07,0,0,15.9,37,0
C100184,SMB,16,115.27,5,2,22.9,7,0
C100939,SMB,13,265.01,3,3,26.7,15,0
C100244,SMB,12,147.81,3,0,11.4,25,0
C100931,MidMarket,30,516.59,1,2,44.4,-5,0
C100445,MidMarket,23,689.06,3,1,59.9,28,0
C100596,MidMarket,30,891.09,1,1,19.0,18,0
C100817,MidMarket,22,549.76,1,1,28.8,-1,0
C101272,SMB,7,120.24,1,1,17.1,17,0
C101676,SMB,17,180.06,1,2,30.7,14,0
C100486,Enterprise,35,2498.02,4,2,52.8,7,0
C100680,SMB,26,117.12,3,0,15.0,46,0
C100415,SMB,15,187.97,1,2,41.9,36,0
C100273,MidMarket,18,733.88,1,1,23.7,42,0
C101471,SMB,17,172.22,1,0,25.3,0,0
C101829,MidMarket,30,558.79,1,0,19.0,20,0
C101454,SMB,19,194.48,0,0,9.8,14,0
C100250,SMB,20,110.05,5,2,27.7,13,1
C100413,MidMarket,14,598.11,1,0,28.6,25,0
C101385,MidMarket,26,711.58,0,1,31.3,-4,0
C101307,SMB,17,147.61,2,1,18.7,5,0
C100715,MidMarket,24,493.14,2,1,50.0,3,0
C100310,SMB,9,216.38,1,0,17.8,3,0
C100926,Enterprise,49,2719.24,0,1,69.6,35,0
C100381,SMB,13,165.56,0,3,26.9,27,1
C101565,SMB,14,189.81,0,2,25.2,-5,0
C100425,SMB,16,122.13,0,3,22.7,41,0
C101874,SMB,13,101.33,2,0,20.4,15,0
C100532,SMB,15,140.98,2,1,5.7,5,0
C100752,SMB,20,172.8,2,1,13.7,35,0
C100765,MidMarket,11,568.38,2,1,39.9,24,0
C101356,Enterprise,20,3226.78,0,0,48.1,40,0
C100408,Enterprise,33,2270.64,0,0,31.9,24,0
C101614,Enterprise,33,4060.37,2,0,40.8,43,0
C100694,MidMarket,10,413.19,1,1,27.6,4,0
C101738,SMB,17,214.59,2,1,28.7,24,0
C100548,MidMarket,33,820.15,4,0,45.6,23,0
C100936,MidMarket,16,447.05,3,1,40.6,-7,0
C101389,MidMarket,37,739.59,1,0,27.7,32,0
C101607,MidMarket,34,618.24,2,1,32.9,25,0
C101939,MidMarket,7,776.71,0,1,0.0,23,0
C101481,MidMarket,32,641.51,0,0,36.4,32,0
C100182,SMB,19,115.18,1,1,25.3,10,0
C101940,SMB,20,162.69,1,1,17.6,29,1
C101160,MidMarket,19,533.63,2,0,47.8,47,0
C100170,SMB,1,153.19,1,2,19.6,-9,0
C100292,MidMarket,27,790.01,2,0,21.7,10,0
